model,Original,Paraphrase,Distractor,WC decision,CC keep,Insuf stop,Format contract,L_gold orig,dL para,dL distractor,M dec WC,M dec CC,M status insuf,L contract fmt,clean_loss_per_tok
llama31-8b,0.0019,0.0,0.0076,0.9282,0.7902,0.1888,0.7164,5.0101,-0.2759,-0.0484,2.2732,-1.0827,-10.8175,16.9142,5.0101
mistral-7b,0.0076,0.0,0.0057,0.9338,0.1493,0.3815,0.673,8.1107,0.8916,0.2926,5.8082,-3.3627,14.6552,17.2566,8.1107
qwen25-7b,0.1134,0.06,0.2004,0.9376,0.8015,0.4297,0.9981,2.2816,-0.2951,-0.0382,7.9105,-2.9674,19.4788,25.2999,2.2816
qwen3-0.6b,0.5161,0.54,0.4934,0.9225,0.1626,0.1727,0.017,3.1985,0.0614,-0.1431,2.8126,-1.87,8.0768,25.0259,3.1985
qwen3-1.7b,0.7694,0.76,0.6692,0.8053,0.7637,0.245,0.6711,3.3524,0.2361,-0.2959,6.2174,-0.088,12.001,36.424,3.3524
qwen3-4b,0.7883,0.8,0.7883,0.8488,0.9036,0.3133,0.6805,3.4297,0.5885,0.3324,8.5762,-1.943,10.9556,27.2159,3.4297
qwen3-8b,0.8715,0.9,0.8223,0.8374,0.8733,0.2731,0.7864,3.9125,-0.5785,0.7023,17.3977,-10.7344,23.5747,31.6468,3.9125
