run_id,component,dose,seed,dataset,q_d,max_steps,data_hash,config_hash,eval_hash,scorer_hash
IFM-0000-S42,IFM,0,42,lawv1_IFM-0000,0.0,28,8f0fd0d9658520c4,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
IFM-0030-S42,IFM,30,42,lawv1_IFM-0030,0.0064,28,cf21a50c8ace6563,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
IFM-2000-S42,IFM,2000,42,lawv1_IFM-2000,0.50953,28,e03498e05e5fc92d,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
IEV-0000-S42,IEV,0,42,lawv1_IEV-0000,0.0,20,8f0fd0d9658520c4,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
IEV-0240-S42,IEV,240,42,lawv1_IEV-0240,0.24877,20,21797eedcd48e3c5,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
IEV-1108-S42,IEV,1108,42,lawv1_IEV-1108,1.0,20,8c0c6868a08ce843,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
IAN-0000-S42,IAN,0,42,lawv1_IAN-0000,0.0,34,8f0fd0d9658520c4,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
IAN-0240-S42,IAN,240,42,lawv1_IAN-0240,0.03156,34,7b586fdcd799c328,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
IAN-2000-S42,IAN,2000,42,lawv1_IAN-2000,0.28175,34,ca6e2430f0ff2c99,74475808adf0ee37,a7e0e4a151b4ff4c,3452dc5e2556e830
